"Tempo","Estação","LAT","LONG","Movimentação","Original_473","Original_269","Zero","Maçã-Verde","Tangerina","Citrus","Açaí-Guaraná","Pêssego","TARGET"
2018-3-2,Campo Belo,-23.6188,-46.6823,24104,86,55,65,32,25,30,43,26,NORMAL
2019-10-30,Brooklin,-23.6263,-46.6878,27810,52,65,41,30,5,35,32,34,REABASTECER
2019-11-5,Brooklin,-23.6263,-46.6878,28328,86,39,9,19,28,23,15,18,NORMAL
2018-12-2,Campo Belo,-23.6188,-46.6823,24450,35,8,60,21,12,9,17,18,REABASTECER
2018-3-12,Campo Belo,-23.6188,-46.6823,25850,62,56,50,7,26,9,4,30,NORMAL
2019-11-9,Brooklin,-23.6263,-46.6878,28170,48,9,36,10,15,8,43,43,REABASTECER
2018-12-18,Campo Belo,-23.6188,-46.6823,24573,69,41,4,20,27,16,43,35,NORMAL
2018-12-21,Campo Belo,-23.6188,-46.6823,23757,37,24,49,12,16,5,34,27,REABASTECER
2019-11-25,Brooklin,-23.6263,-46.6878,27242,68,27,57,21,32,11,26,23,NORMAL
2018-4-9,Campo Belo,-23.6188,-46.6823,26289,77,65,52,2,8,19,22,9,NORMAL
2019-1-15,Campo Belo,-23.6188,-46.6823,24849,79,8,9,26,2,13,26,28,NORMAL
2019-12-22,Brooklin,-23.6263,-46.6878,26156,65,12,60,13,6,10,37,12,REABASTECER
2019-1-20,Campo Belo,-23.6188,-46.6823,25337,32,36,38,11,27,38,8,2,REABASTECER
2019-2-10,Campo Belo,-23.6188,-46.6823,25912,9,58,23,26,33,6,13,7,REABASTECER
2018-1-27,Campo Belo,-23.6188,-46.6823,23420,86,42,32,8,31,18,23,28,NORMAL
2018-1-30,Campo Belo,-23.6188,-46.6823,26187,53,33,10,40,16,10,9,15,NORMAL
2019-3-4,Campo Belo,-23.6188,-46.6823,25663,35,57,52,43,26,6,11,37,NORMAL
2018-6-13,Campo Belo,-23.6188,-46.6823,25412,55,52,57,25,5,40,32,5,REABASTECER
2019-3-6,Campo Belo,-23.6188,-46.6823,24772,16,40,40,41,16,40,5,29,REABASTECER
2019-3-15,Campo Belo,-23.6188,-46.6823,24855,5,56,43,15,18,7,6,36,REABASTECER
2019-3-22,Campo Belo,-23.6188,-46.6823,23381,28,17,65,35,36,31,17,10,NORMAL
2019-4-2,Campo Belo,-23.6188,-46.6823,25309,18,16,65,3,41,32,22,19,REABASTECER
2019-4-4,Campo Belo,-23.6188,-46.6823,26674,86,65,51,41,30,27,13,12,NORMAL
2019-4-7,Campo Belo,-23.6188,-46.6823,24456,50,46,29,35,19,24,43,43,NORMAL
2018-3-10,Campo Belo,-23.6188,-46.6823,24189,86,7,65,12,33,15,12,39,REABASTECER
2018-7-19,Campo Belo,-23.6188,-46.6823,26357,39,27,13,13,3,18,34,38,REABASTECER
2018-3-18,Campo Belo,-23.6188,-46.6823,26966,11,7,5,30,2,38,20,6,NORMAL
2018-7-23,Campo Belo,-23.6188,-46.6823,24500,86,65,46,7,28,6,17,22,NORMAL
2019-4-28,Campo Belo,-23.6188,-46.6823,24880,10,41,27,12,24,43,7,3,NORMAL
2018-8-11,Campo Belo,-23.6188,-46.6823,25068,86,24,46,31,39,25,38,33,NORMAL
2018-4-19,Campo Belo,-23.6188,-46.6823,24887,63,2,40,18,15,42,29,16,REABASTECER
2019-5-18,Campo Belo,-23.6188,-46.6823,26279,86,65,13,41,32,26,16,17,NORMAL
2019-6-10,Campo Belo,-23.6188,-46.6823,23544,39,65,53,11,40,43,13,19,NORMAL
2018-9-26,Campo Belo,-23.6188,-46.6823,23536,68,7,6,43,38,8,43,32,NORMAL
2018-9-27,Campo Belo,-23.6188,-46.6823,26732,56,65,65,40,36,8,38,28,NORMAL
2018-10-7,Campo Belo,-23.6188,-46.6823,23943,46,14,65,16,43,11,43,26,NORMAL
2018-10-17,Campo Belo,-23.6188,-46.6823,23354,39,15,58,33,43,33,5,23,REABASTECER
2018-10-22,Campo Belo,-23.6188,-46.6823,26769,77,44,16,17,20,21,28,7,NORMAL
2018-10-25,Campo Belo,-23.6188,-46.6823,24248,44,25,56,10,11,17,16,37,NORMAL
2019-8-17,Campo Belo,-23.6188,-46.6823,24167,12,56,52,11,36,30,2,18,NORMAL
2018-11-24,Campo Belo,-23.6188,-46.6823,25528,33,54,52,8,5,37,16,8,NORMAL
2019-8-20,Campo Belo,-23.6188,-46.6823,23721,69,34,27,9,23,14,34,5,NORMAL
2018-11-28,Campo Belo,-23.6188,-46.6823,23062,78,35,20,37,28,20,37,33,NORMAL
2019-8-28,Campo Belo,-23.6188,-46.6823,25256,73,42,41,25,32,33,4,17,NORMAL
2018-8-8,Campo Belo,-23.6188,-46.6823,23585,22,47,65,40,8,39,7,43,NORMAL
2019-9-9,Campo Belo,-23.6188,-46.6823,26538,54,37,28,38,29,43,43,16,NORMAL
2018-12-16,Campo Belo,-23.6188,-46.6823,23751,86,48,19,26,34,24,9,43,NORMAL
2018-8-26,Campo Belo,-23.6188,-46.6823,24674,13,13,65,32,18,14,30,22,NORMAL
2019-1-1,Campo Belo,-23.6188,-46.6823,26675,34,31,42,19,16,13,33,33,NORMAL
2019-1-5,Campo Belo,-23.6188,-46.6823,25964,86,9,13,9,43,4,22,19,REABASTECER
2018-9-14,Campo Belo,-23.6188,-46.6823,25030,10,61,19,29,38,40,43,35,REABASTECER
2018-9-24,Campo Belo,-23.6188,-46.6823,23540,86,16,19,10,43,13,7,43,NORMAL
2019-10-23,Campo Belo,-23.6188,-46.6823,25107,69,40,60,18,24,6,43,14,REABASTECER
2019-2-1,Campo Belo,-23.6188,-46.6823,26442,9,51,25,15,28,34,8,43,REABASTECER
2019-10-28,Campo Belo,-23.6188,-46.6823,23863,27,17,18,8,10,30,17,34,NORMAL
2019-2-5,Campo Belo,-23.6188,-46.6823,24807,59,20,65,2,9,20,33,25,REABASTECER
2018-10-1,Campo Belo,-23.6188,-46.6823,25223,19,47,40,29,23,33,23,7,NORMAL
2019-2-6,Campo Belo,-23.6188,-46.6823,25538,50,11,58,43,3,16,28,22,NORMAL
2019-11-1,Campo Belo,-23.6188,-46.6823,26801,86,65,65,39,41,20,7,24,NORMAL
2018-10-14,Campo Belo,-23.6188,-46.6823,26903,69,32,13,43,15,37,18,36,NORMAL
2019-11-22,Campo Belo,-23.6188,-46.6823,26341,62,9,65,21,37,15,13,29,NORMAL
2018-10-24,Campo Belo,-23.6188,-46.6823,24279,55,33,65,14,13,18,22,43,NORMAL
2019-11-23,Campo Belo,-23.6188,-46.6823,24977,55,65,56,16,33,12,9,23,NORMAL
2019-3-3,Campo Belo,-23.6188,-46.6823,24965,48,63,60,43,29,9,14,43,NORMAL
2019-12-2,Campo Belo,-23.6188,-46.6823,25017,54,10,51,28,41,29,15,22,NORMAL
2019-12-3,Campo Belo,-23.6188,-46.6823,23067,43,8,42,27,36,28,10,20,REABASTECER
2019-3-10,Campo Belo,-23.6188,-46.6823,24384,64,23,12,26,43,24,31,13,NORMAL
2019-12-26,Campo Belo,-23.6188,-46.6823,24057,75,51,10,32,26,38,43,24,NORMAL
2019-4-4,Campo Belo,-23.6188,-46.6823,26674,86,65,51,41,30,27,13,12,NORMAL
2019-4-8,Campo Belo,-23.6188,-46.6823,25026,42,44,19,29,13,18,40,41,NORMAL
2018-12-11,Campo Belo,-23.6188,-46.6823,25402,44,23,55,36,13,31,29,24,NORMAL
2018-12-14,Campo Belo,-23.6188,-46.6823,26948,20,65,36,29,43,28,17,9,NORMAL
2018-12-20,Campo Belo,-23.6188,-46.6823,24171,46,32,57,17,21,8,37,29,NORMAL
2019-5-17,Campo Belo,-23.6188,-46.6823,24356,9,1,21,43,37,27,22,20,REABASTECER
2019-5-18,Campo Belo,-23.6188,-46.6823,26279,86,65,13,41,32,26,16,17,NORMAL
2018-2-18,Eucaliptos,-23.61,-46.6686,23818,67,32,15,3,27,29,16,25,NORMAL
2018-2-20,Eucaliptos,-23.61,-46.6686,24502,44,17,0,43,17,22,10,17,REABASTECER
2019-1-21,Campo Belo,-23.6188,-46.6823,26442,19,33,29,7,25,33,6,43,REABASTECER
2018-2-22,Eucaliptos,-23.61,-46.6686,23961,28,12,61,42,8,15,6,7,REABASTECER
2019-1-30,Campo Belo,-23.6188,-46.6823,26732,16,55,30,21,34,40,10,3,REABASTECER
2019-2-2,Campo Belo,-23.6188,-46.6823,24317,86,42,17,13,22,29,5,41,REABASTECER
2019-6-9,Campo Belo,-23.6188,-46.6823,26207,47,8,61,16,43,6,17,21,NORMAL
2019-6-10,Campo Belo,-23.6188,-46.6823,23544,39,65,53,11,40,43,13,19,NORMAL
2018-3-6,Eucaliptos,-23.61,-46.6686,24613,59,54,27,41,37,9,33,37,NORMAL
2019-2-11,Campo Belo,-23.6188,-46.6823,25080,86,52,15,20,27,43,8,5,REABASTECER
2018-3-11,Eucaliptos,-23.61,-46.6686,24647,13,24,57,35,13,37,10,19,NORMAL
2019-2-15,Campo Belo,-23.6188,-46.6823,23800,42,38,56,7,10,32,38,32,NORMAL
2019-2-18,Campo Belo,-23.6188,-46.6823,23441,14,14,40,43,40,19,26,20,NORMAL
2019-6-24,Campo Belo,-23.6188,-46.6823,25405,86,44,23,12,25,32,1,9,REABASTECER
2019-2-27,Campo Belo,-23.6188,-46.6823,26438,20,28,40,12,10,29,35,26,NORMAL
2019-2-28,Campo Belo,-23.6188,-46.6823,26642,12,24,31,12,6,29,30,21,REABASTECER
2019-7-8,Campo Belo,-23.6188,-46.6823,23200,42,25,49,2,6,43,25,36,REABASTECER
2019-7-14,Campo Belo,-23.6188,-46.6823,25796,62,55,12,23,27,32,7,20,NORMAL
2019-3-10,Campo Belo,-23.6188,-46.6823,24384,64,23,12,26,43,24,31,13,NORMAL
2018-4-12,Eucaliptos,-23.61,-46.6686,23561,54,45,47,28,24,43,15,21,NORMAL
2018-4-18,Eucaliptos,-23.61,-46.6686,21871,86,12,4,5,38,25,37,37,REABASTECER
2018-4-24,Eucaliptos,-23.61,-46.6686,21986,31,48,36,24,17,5,15,15,REABASTECER
2019-3-29,Campo Belo,-23.6188,-46.6823,23471,47,30,22,17,7,4,34,27,REABASTECER
2018-4-30,Eucaliptos,-23.61,-46.6686,22808,56,5,59,16,39,28,37,35,REABASTECER
2019-4-6,Campo Belo,-23.6188,-46.6823,26391,62,51,35,39,24,24,4,4,REABASTECER
2018-5-6,Eucaliptos,-23.61,-46.6686,22970,5,30,16,32,15,10,11,7,REABASTECER
2018-5-9,Eucaliptos,-23.61,-46.6686,25394,66,13,59,23,43,37,43,40,NORMAL
2019-8-18,Campo Belo,-23.6188,-46.6823,24154,86,48,46,10,32,24,43,12,NORMAL
2018-5-15,Eucaliptos,-23.61,-46.6686,24652,86,39,11,5,14,15,21,11,NORMAL
2019-8-22,Campo Belo,-23.6188,-46.6823,23696,49,17,14,4,19,7,25,38,REABASTECER
2019-4-21,Campo Belo,-23.6188,-46.6823,25028,86,16,7,33,7,27,35,32,NORMAL
2019-9-3,Campo Belo,-23.6188,-46.6823,24680,29,17,6,8,12,17,26,40,REABASTECER
2018-5-29,Eucaliptos,-23.61,-46.6686,23969,32,19,50,5,38,27,6,38,REABASTECER
2018-6-7,Eucaliptos,-23.61,-46.6686,24960,36,34,65,25,7,32,12,7,NORMAL
2019-9-24,Campo Belo,-23.6188,-46.6823,26241,86,20,5,37,11,36,28,43,NORMAL
2019-6-5,Campo Belo,-23.6188,-46.6823,23951,86,39,23,26,17,13,35,35,NORMAL
2018-7-14,Eucaliptos,-23.61,-46.6686,24287,75,4,65,37,32,11,38,8,REABASTECER
2019-10-26,Campo Belo,-23.6188,-46.6823,26733,47,27,35,14,15,36,25,43,NORMAL
2018-7-25,Eucaliptos,-23.61,-46.6686,22643,43,16,55,43,24,12,43,5,REABASTECER
2018-7-28,Eucaliptos,-23.61,-46.6686,22618,10,65,30,26,9,43,32,35,REABASTECER
2019-11-3,Campo Belo,-23.6188,-46.6823,25603,71,51,51,36,31,14,43,15,NORMAL
2018-8-10,Eucaliptos,-23.61,-46.6686,24477,67,45,17,41,6,43,19,31,REABASTECER
2019-11-15,Campo Belo,-23.6188,-46.6823,26237,40,50,43,42,23,28,34,9,NORMAL
2019-7-10,Campo Belo,-23.6188,-46.6823,24887,20,12,34,39,41,41,21,32,NORMAL
2018-8-11,Eucaliptos,-23.61,-46.6686,22125,58,41,8,36,43,39,14,27,REABASTECER
2019-7-22,Campo Belo,-23.6188,-46.6823,24144,78,65,28,38,41,43,20,30,NORMAL
2019-7-24,Campo Belo,-23.6188,-46.6823,24371,54,55,16,31,33,31,8,21,NORMAL
2018-9-6,Eucaliptos,-23.61,-46.6686,24481,75,21,28,8,25,38,7,43,NORMAL
2019-8-8,Campo Belo,-23.6188,-46.6823,26235,7,42,54,25,21,23,32,7,NORMAL
2019-8-9,Campo Belo,-23.6188,-46.6823,25698,86,32,45,25,17,21,30,3,REABASTECER
2019-12-18,Campo Belo,-23.6188,-46.6823,24335,67,29,65,16,17,20,34,12,NORMAL
2019-12-20,Campo Belo,-23.6188,-46.6823,25010,46,23,53,8,9,14,27,4,REABASTECER
2019-12-22,Campo Belo,-23.6188,-46.6823,26315,22,10,44,43,43,2,15,37,REABASTECER
2018-1-10,Eucaliptos,-23.61,-46.6686,24797,86,19,7,40,8,9,8,6,REABASTECER
2018-10-8,Eucaliptos,-23.61,-46.6686,23482,86,29,53,43,21,25,41,3,NORMAL
2018-1-13,Eucaliptos,-23.61,-46.6686,23660,57,8,56,32,40,37,37,38,REABASTECER
2018-10-10,Eucaliptos,-23.61,-46.6686,24684,65,14,37,33,11,19,32,38,NORMAL
2019-9-16,Campo Belo,-23.6188,-46.6823,26420,79,63,48,21,43,22,18,27,NORMAL
2018-10-19,Eucaliptos,-23.61,-46.6686,25359,64,12,46,5,21,39,30,37,NORMAL
2019-9-25,Campo Belo,-23.6188,-46.6823,26854,78,11,65,34,7,34,23,39,NORMAL
2018-11-8,Eucaliptos,-23.61,-46.6686,21899,65,17,52,37,29,15,33,39,NORMAL
2018-11-13,Eucaliptos,-23.61,-46.6686,23270,12,46,20,27,13,10,13,24,NORMAL
2019-10-13,Campo Belo,-23.6188,-46.6823,23985,74,44,65,9,15,35,41,10,NORMAL
2018-3-4,Eucaliptos,-23.61,-46.6686,23715,74,65,45,43,4,14,41,43,NORMAL
2018-3-9,Eucaliptos,-23.61,-46.6686,22146,31,34,6,35,23,39,19,29,NORMAL
2018-3-10,Eucaliptos,-23.61,-46.6686,23324,20,30,65,35,18,38,13,24,NORMAL
2018-3-30,Eucaliptos,-23.61,-46.6686,23919,86,45,56,16,26,37,22,25,NORMAL
2018-12-28,Eucaliptos,-23.61,-46.6686,24406,76,13,45,10,27,6,5,9,NORMAL
2019-12-1,Campo Belo,-23.6188,-46.6823,24656,64,12,61,31,43,30,21,28,NORMAL
2019-12-16,Campo Belo,-23.6188,-46.6823,23588,86,47,15,25,25,27,43,16,NORMAL
2019-12-18,Campo Belo,-23.6188,-46.6823,24335,67,29,65,16,17,20,34,12,NORMAL
2018-4-30,Eucaliptos,-23.61,-46.6686,22808,56,5,59,16,39,28,37,35,REABASTECER
2018-5-7,Eucaliptos,-23.61,-46.6686,24672,86,27,8,30,9,6,7,2,REABASTECER
2019-2-10,Eucaliptos,-23.61,-46.6686,22256,11,14,17,12,30,21,10,20,REABASTECER
2018-5-15,Eucaliptos,-23.61,-46.6686,24652,86,39,11,5,14,15,21,11,NORMAL
2018-1-12,Eucaliptos,-23.61,-46.6686,24191,66,11,60,33,43,43,43,41,NORMAL
2018-5-19,Eucaliptos,-23.61,-46.6686,23089,46,3,51,29,41,8,10,40,REABASTECER
2018-5-23,Eucaliptos,-23.61,-46.6686,22447,6,55,27,27,21,43,32,27,REABASTECER
2019-2-20,Eucaliptos,-23.61,-46.6686,22568,76,15,24,20,25,26,16,32,NORMAL
2019-2-22,Eucaliptos,-23.61,-46.6686,23320,55,4,11,12,18,19,7,26,REABASTECER
2018-5-26,Eucaliptos,-23.61,-46.6686,25327,64,39,5,20,6,32,22,10,REABASTECER
2019-2-29,Eucaliptos,-23.61,-46.6686,23040,73,28,22,35,38,29,27,7,NORMAL
2019-3-1,Eucaliptos,-23.61,-46.6686,24858,53,10,12,31,29,26,20,43,NORMAL
2018-6-11,Eucaliptos,-23.61,-46.6686,25476,86,10,41,13,36,17,39,35,NORMAL
2018-6-13,Eucaliptos,-23.61,-46.6686,21790,64,65,27,5,29,9,32,28,NORMAL
2018-2-7,Eucaliptos,-23.61,-46.6686,24469,86,48,20,25,27,22,17,26,NORMAL
2018-6-18,Eucaliptos,-23.61,-46.6686,22482,10,31,57,33,5,35,12,5,REABASTECER
2019-3-20,Eucaliptos,-23.61,-46.6686,24626,47,21,19,19,43,43,28,11,NORMAL
2019-3-21,Eucaliptos,-23.61,-46.6686,22582,39,12,9,14,41,38,24,7,NORMAL
2018-2-27,Eucaliptos,-23.61,-46.6686,23202,62,48,21,30,30,38,26,27,NORMAL
2018-7-10,Eucaliptos,-23.61,-46.6686,23208,35,29,31,12,1,21,13,25,REABASTECER
2018-7-12,Eucaliptos,-23.61,-46.6686,23854,10,14,18,5,38,17,4,19,NORMAL
2018-7-13,Eucaliptos,-23.61,-46.6686,22947,86,11,8,43,34,13,43,13,NORMAL
2018-7-16,Eucaliptos,-23.61,-46.6686,22734,52,62,50,31,25,43,27,43,NORMAL
2018-3-10,Eucaliptos,-23.61,-46.6686,23324,20,30,65,35,18,38,13,24,NORMAL
2019-4-18,Eucaliptos,-23.61,-46.6686,22613,27,32,12,10,14,43,38,23,NORMAL
2018-7-25,Eucaliptos,-23.61,-46.6686,22643,43,16,55,43,24,12,43,5,REABASTECER
2018-7-28,Eucaliptos,-23.61,-46.6686,22618,10,65,30,26,9,43,32,35,REABASTECER
2018-3-22,Eucaliptos,-23.61,-46.6686,23176,86,21,45,38,13,14,11,21,NORMAL
2018-8-16,Eucaliptos,-23.61,-46.6686,21828,7,15,36,23,24,22,38,43,NORMAL
2019-5-17,Eucaliptos,-23.61,-46.6686,24749,2,38,65,9,32,42,7,43,REABASTECER
2018-8-20,Eucaliptos,-23.61,-46.6686,24513,60,51,5,7,5,16,23,25,NORMAL
2018-8-24,Eucaliptos,-23.61,-46.6686,24452,16,22,45,40,31,43,8,8,NORMAL
2019-5-25,Eucaliptos,-23.61,-46.6686,23584,27,65,15,20,37,21,15,12,NORMAL
2018-8-28,Eucaliptos,-23.61,-46.6686,22766,68,65,12,23,12,29,39,37,NORMAL
2018-9-4,Eucaliptos,-23.61,-46.6686,21839,6,33,42,14,33,3,16,8,REABASTECER
2018-4-28,Eucaliptos,-23.61,-46.6686,22180,75,20,3,19,43,36,43,43,REABASTECER
2018-5-3,Eucaliptos,-23.61,-46.6686,25193,34,47,38,43,26,22,24,22,NORMAL
2018-5-6,Eucaliptos,-23.61,-46.6686,22970,5,30,16,32,15,10,11,7,REABASTECER
2018-5-8,Eucaliptos,-23.61,-46.6686,25356,79,23,65,26,6,43,5,43,NORMAL
2018-9-19,Eucaliptos,-23.61,-46.6686,23293,26,65,60,16,14,42,43,30,NORMAL
2018-5-15,Eucaliptos,-23.61,-46.6686,24652,86,39,11,5,14,15,21,11,NORMAL
2019-6-23,Eucaliptos,-23.61,-46.6686,23580,86,65,9,4,11,31,32,31,REABASTECER
2018-5-30,Eucaliptos,-23.61,-46.6686,22113,19,9,43,43,34,23,43,33,REABASTECER
2018-6-11,Eucaliptos,-23.61,-46.6686,25476,86,10,41,13,36,17,39,35,NORMAL
2018-6-16,Eucaliptos,-23.61,-46.6686,22502,28,49,6,38,13,38,19,16,REABASTECER
2018-11-1,Eucaliptos,-23.61,-46.6686,24560,44,61,31,8,16,5,19,28,NORMAL
2018-11-17,Eucaliptos,-23.61,-46.6686,24774,52,14,57,23,41,37,38,10,NORMAL
2019-8-20,Eucaliptos,-23.61,-46.6686,22948,65,32,7,6,15,35,17,27,NORMAL
2018-7-17,Eucaliptos,-23.61,-46.6686,24063,40,56,44,27,19,42,24,38,NORMAL
2018-7-19,Eucaliptos,-23.61,-46.6686,23976,16,49,29,20,8,31,18,28,NORMAL
2018-12-8,Eucaliptos,-23.61,-46.6686,23855,29,13,53,37,20,28,36,4,REABASTECER
2019-9-16,Eucaliptos,-23.61,-46.6686,22243,75,65,36,35,43,43,43,37,NORMAL
2018-12-28,Eucaliptos,-23.61,-46.6686,24406,76,13,45,10,27,6,5,9,NORMAL
2019-9-27,Eucaliptos,-23.61,-46.6686,25480,48,4,28,38,43,13,37,29,REABASTECER
2018-8-30,Eucaliptos,-23.61,-46.6686,22909,49,60,65,23,8,21,31,27,NORMAL
2018-9-1,Eucaliptos,-23.61,-46.6686,24925,37,50,61,20,5,21,27,22,REABASTECER
2018-9-3,Eucaliptos,-23.61,-46.6686,23538,16,37,49,18,39,9,21,13,NORMAL
2018-9-6,Eucaliptos,-23.61,-46.6686,24481,75,21,28,8,25,38,7,43,NORMAL
2019-10-19,Eucaliptos,-23.61,-46.6686,21648,21,54,15,21,8,21,9,15,NORMAL
2019-1-23,Eucaliptos,-23.61,-46.6686,22719,86,58,3,18,16,43,35,43,REABASTECER
2018-9-23,Eucaliptos,-23.61,-46.6686,21802,73,43,31,43,38,34,22,19,NORMAL
2019-2-10,Eucaliptos,-23.61,-46.6686,22256,11,14,17,12,30,21,10,20,REABASTECER
2019-2-12,Eucaliptos,-23.61,-46.6686,22379,76,9,7,3,18,11,4,16,NORMAL
2019-11-16,Eucaliptos,-23.61,-46.6686,23231,21,40,30,17,24,26,36,34,NORMAL
2019-11-18,Eucaliptos,-23.61,-46.6686,22083,86,31,16,15,14,22,31,25,NORMAL
2019-11-21,Eucaliptos,-23.61,-46.6686,24901,59,13,59,9,43,11,18,13,NORMAL
2018-10-19,Eucaliptos,-23.61,-46.6686,25359,64,12,46,5,21,39,30,37,NORMAL
2018-10-20,Eucaliptos,-23.61,-46.6686,23277,52,6,39,43,16,35,28,32,NORMAL
2018-10-27,Eucaliptos,-23.61,-46.6686,25129,77,26,60,22,31,19,37,4,REABASTECER
2019-3-8,Eucaliptos,-23.61,-46.6686,23590,78,37,35,18,5,39,33,15,REABASTECER
2019-3-24,Eucaliptos,-23.61,-46.6686,24556,12,56,46,7,32,28,13,37,NORMAL
2018-11-18,Eucaliptos,-23.61,-46.6686,23530,40,4,53,21,38,36,36,4,REABASTECER
2019-3-28,Eucaliptos,-23.61,-46.6686,22359,53,23,22,36,16,10,43,25,NORMAL
2018-1-19,Moema,-23.5489,-46.6388,17840,86,19,15,24,8,17,15,28,NORMAL
2018-12-16,Eucaliptos,-23.61,-46.6686,22436,35,24,60,10,33,4,43,15,REABASTECER
2018-12-19,Eucaliptos,-23.61,-46.6686,22798,86,65,41,43,21,36,34,5,NORMAL
